employmentpopulation_ratio
62.5
62.2
62.4
62.1
62
62.1
62
62
62.1
62
61.9
61.7
62
61.7
62
61.8
62
61.7
61.7
61.7
61.7
61.7
61.5
61.5
61.8
61.7
61.4
61.5
61.4
61.4
61.2
61.1
61.2
61.1
60.9
60.6
60.7
60.8
60.9
60.9
60.7
60.8
60.8
60.7
60.6
60.5
60.5
60.7
60.6
60.9
60.9
60.8
61
60.9
61
61
61
61.3
61.4
61.4
61.3
61.3
61.3
61.2
61.1
61.2
61.3
61
60.9
61
61
61
61
60.9
61.1
61.3
61.3
61.5
61.5
61.7
61.8
61.8
62
62.1
62.2
62
62
62
61.9
62.2
62.1
62.2
62.2
62.3
62.3
62.4
62.4
62.3
62.3
62.5
62.5
62.6
62.6
62.7
62.7
62.5
62.5
62.6
62.6
62.5
62.4
59.6
58.2
59.3
59.8
60.5
60.4
61.2
61.5
61.7
61.9
62.2
62.5
62.4
62.8
62.9
62.9
62.3
61.6
61.4
63.1
63.4
63.5
63.8
63.8
63.9
64.1
64.4
64.2
64.3
64.3
64.4
64.5
64.3
64.1
64.3
